,,,,,Farnell,,,Farnell US,,,RS Online,,
Qty,Part,Eagle Part,Description,Notes,Order Code,Price,Unit,Order Code,Price,Unit,Order Code,Price,Unit
15,10nF Ceramic Capacitor,C-EU025-024X044,10nF Ceramic Capacitor,,9411852,0.059,25,1694335,0.016,10,,,
250,0.1μF ceramic capacitor,C-EU025-024X044,0.1μF ceramic capacitor,,1694337,0.019,100,1694337,0.019,100,721-5240,0.051,50
53,1μF capacitor,C-EU025-024X044,1μF capacitor,,3322210,0.148,1,1600879,0.041,25,538-1578,0.292,1
4,22 pF ceramic capacitor,C-EU025-024X044,22 pF ceramic capacitor,,9411674,0.035,25,,,,,,
3,33pF ceramic capacitor,C-EU025-024X044,33pF ceramic capacitor,,9411682,0.04,25,,,,,,
2,47nF ceramic capacitor,C-EU025-024X044,47nF ceramic capacitor,,1100530,0.055,5,,,,,,
16,1μF electrolytic capacitor,CPOL-EUE1.8-4,1μF electrolytic capacitor,,1236655,0.034,1,,,,,,
1,100nF electrolytic capacitor,CPOL-EUE2.5-5,100nF electrolytic capacitor,,1902938,0.033,10,,,,,,
29,1 μF electrolytic capacitor,CPOL-EUE2.5-5,1 μF electrolytic capacitor,Through hole,1236655,0.034,1,,,,,,
9,10 µF electrolytic capacitor,CPOL-EUE2.5-5,10 µF electrolytic capacitor,,1902928,0.033,1,,,,440-6547,0.026,50
2,47µF electrolytic capacitor,CPOL-EUE2.5-5,47µF electrolytic capacitor,,1902909,0.041,10,,,,,,
2,220µF electrolytic capacitor,CPOL-EUE2.5-5,220µF electrolytic capacitor,,1902883,0.042,10,,,,,,
1,10μF/10V Electrolytic capacitor,CPOL-EUE2.5-7,10μF/10V Electrolytic capacitor,,
22,8x1 pin 2.54mm centre header,22-23-2081,8x1 pin 2.54mm centre header,Molex KK® series header,,,,,,,,,
1,9x1 pin 2.54mm centre header,22-23-2091,9x1 pin 2.54mm centre header,Molex KK® series header,
1,DB9 female or 2×5-pin header,F09VP,DB9 female or 2×5-pin header,,1099294,0.48,5,,,,,,
2,2x20 pin shrouded header,IDE-CONNECTOR,2x20 pin shrouded header,IDE socket,1099261,1.07,1,1258972,0.66,1,670-1825,0.972,5
2,DB9 male or 2×5 pin header,M09HP,DB9 male or 2×5 pin header,,1099289,0.48,5,,,,,,
